"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7301","Entrar no site automationtesting - SLIDER","","Thu Aug 21 15:30:07 BRT 2025","passed","Thu Aug 21 15:30:15 BRT 2025","","3_WidGets.spec.js","",""
"","6454","Entrar no site automationtesting - File Download PDF","","Thu Aug 21 15:31:08 BRT 2025","passed","Thu Aug 21 15:31:15 BRT 2025","","7_More.spec.js","",""
"","9131","Entrar no site automationtesting - ALERT WITH OK & CANCEL","","Thu Aug 21 15:29:43 BRT 2025","passed","Thu Aug 21 15:29:52 BRT 2025","","2_ShitichTo.spec.js","",""
"","5798","Entrar no site automationtesting - CKEditor","","Thu Aug 21 15:30:56 BRT 2025","passed","Thu Aug 21 15:31:02 BRT 2025","","6_WYSIMYG.spec.js","",""
"","7225","Entrar no site automationtesting - CODE MIRROR","","Thu Aug 21 15:31:08 BRT 2025","passed","Thu Aug 21 15:31:16 BRT 2025","","6_WYSIMYG.spec.js","",""
"","6260","Entrar no site automationtesting - SELECTABLE DEFAULT","","Thu Aug 21 15:30:30 BRT 2025","passed","Thu Aug 21 15:30:36 BRT 2025","","4_Interactions.spec.js","",""
"","6475","Entrar no site automationtesting - SUMMERNOTE","","Thu Aug 21 15:31:02 BRT 2025","passed","Thu Aug 21 15:31:08 BRT 2025","","6_WYSIMYG.spec.js","",""
"","6769","Entrar no site automationtesting - IFRAME","","Thu Aug 21 15:30:21 BRT 2025","passed","Thu Aug 21 15:30:27 BRT 2025","","2_ShitichTo.spec.js","",""
"","6140","Abrir janela múltipla e fechar","","Thu Aug 21 15:30:14 BRT 2025","passed","Thu Aug 21 15:30:21 BRT 2025","","2_ShitichTo.spec.js","",""
"","5875","Entrar no site automationtesting - IFRAME DENTRO DE IFRAME","","Thu Aug 21 15:30:27 BRT 2025","passed","Thu Aug 21 15:30:33 BRT 2025","","2_ShitichTo.spec.js","",""
"","4403","Entrar no site automationtesting - Dynamic Data","","Thu Aug 21 15:30:57 BRT 2025","passed","Thu Aug 21 15:31:02 BRT 2025","","7_More.spec.js","",""
"","5995","Entrar no site automationtesting - File Upload","","Thu Aug 21 15:31:15 BRT 2025","passed","Thu Aug 21 15:31:21 BRT 2025","","7_More.spec.js","",""
"","7452","Entrar no site automationtesting - VIDEO - YOUTUBE","","Thu Aug 21 15:30:33 BRT 2025","passed","Thu Aug 21 15:30:41 BRT 2025","","5_Video.spec.js","",""
"","7891","Entrar no site automationtesting - DATEPICKER NASCIMENTO","","Thu Aug 21 15:29:59 BRT 2025","passed","Thu Aug 21 15:30:07 BRT 2025","","3_WidGets.spec.js","",""
"","7443","Entrar no site automationtesting - WINDOWS","","Thu Aug 21 15:30:00 BRT 2025","passed","Thu Aug 21 15:30:08 BRT 2025","","2_ShitichTo.spec.js","",""
"","14853","Entrar no site automationtesting - Loader","","Tue Aug 19 08:58:07 BRT 2025","passed","Tue Aug 19 08:58:22 BRT 2025","","7_More.spec.js","",""
"","14181","Entrar no site automationtesting - RESIZABLE","","Thu Aug 21 15:30:42 BRT 2025","passed","Thu Aug 21 15:30:56 BRT 2025","","4_Interactions.spec.js","",""
"","7491","Entrar no site automationtesting - ALERT WITH TEXTBOX","","Thu Aug 21 15:29:53 BRT 2025","passed","Thu Aug 21 15:30:00 BRT 2025","","2_ShitichTo.spec.js","",""
"","7696","Entrar no site automationtesting - Modals","","Thu Aug 21 15:31:21 BRT 2025","passed","Thu Aug 21 15:31:28 BRT 2025","","7_More.spec.js","",""
"","16368","Entrar no site automationtesting - VIDEO - VIMEO","","Thu Aug 21 15:30:41 BRT 2025","passed","Thu Aug 21 15:30:57 BRT 2025","","5_Video.spec.js","",""
"","7841","Entrar no site automationtesting - ACCORDION","","Thu Aug 21 15:29:38 BRT 2025","passed","Thu Aug 21 15:29:46 BRT 2025","","3_WidGets.spec.js","",""
"","7779","Entrar no site automationtesting - DRAG AND DROP - DYNAMIC","","Thu Aug 21 15:30:22 BRT 2025","passed","Thu Aug 21 15:30:30 BRT 2025","","4_Interactions.spec.js","",""
"","15418","Entrar no site automationtesting - ALERT DEFAULT","","Thu Aug 21 15:29:28 BRT 2025","passed","Thu Aug 21 15:29:43 BRT 2025","","2_ShitichTo.spec.js","",""
"","6741","Entrar no site automationtesting - Progress Bar","","Thu Aug 21 15:31:28 BRT 2025","passed","Thu Aug 21 15:31:35 BRT 2025","","7_More.spec.js","",""
"","10306","Entrar no site automationtesting - Home","","Thu Aug 21 15:29:28 BRT 2025","passed","Thu Aug 21 15:29:38 BRT 2025","","1_Home.spec.js","",""
"","6866","Abrir janela separada e fechar","","Thu Aug 21 15:30:08 BRT 2025","passed","Thu Aug 21 15:30:14 BRT 2025","","2_ShitichTo.spec.js","",""
"","7531","Entrar no site automationtesting - DRAG AND DROP - STATIC","","Thu Aug 21 15:30:15 BRT 2025","passed","Thu Aug 21 15:30:22 BRT 2025","","4_Interactions.spec.js","",""
"","6645","Entrar no site automationtesting - File Download TXT","","Thu Aug 21 15:31:02 BRT 2025","passed","Thu Aug 21 15:31:08 BRT 2025","","7_More.spec.js","",""
"","6203","Entrar no site automationtesting - DATEPICKER HOJE","","Thu Aug 21 15:29:53 BRT 2025","passed","Thu Aug 21 15:29:59 BRT 2025","","3_WidGets.spec.js","",""
"","3563","Entrar no site automationtesting - JQuery Progress Bar","","Tue Aug 19 08:58:04 BRT 2025","passed","Tue Aug 19 08:58:07 BRT 2025","","7_More.spec.js","",""
"","5702","Entrar no site automationtesting - SELECTABLE SERIALIZE","","Thu Aug 21 15:30:36 BRT 2025","passed","Thu Aug 21 15:30:42 BRT 2025","","4_Interactions.spec.js","",""
"","6895","Entrar no site automationtesting - AUTOCOMPLETE","","Thu Aug 21 15:29:46 BRT 2025","passed","Thu Aug 21 15:29:53 BRT 2025","","3_WidGets.spec.js","",""
